date, pm25
2021/5/20, 111
2021/5/21, 119
2021/5/22, 135
2021/5/23, 106
2021/5/24, 96
2021/5/25, 126
2021/5/26, 108
2021/5/27, 107
2021/5/28, 134
2021/5/29, 129
2021/5/30, 126
2021/5/31, 140
2021/6/1, 109
2021/6/2, 121
2021/6/3, 134
2021/6/4, 142
2021/6/5, 141
2021/6/6, 130
2021/6/7, 116
2021/6/8, 121
2021/6/9, 109
2021/6/10, 122
2021/6/11, 122
2021/6/12, 123
2021/6/13, 110
2021/6/14, 138
2021/6/15, 152
2021/6/16, 150
2021/6/17, 154
2021/6/18, 138
2021/6/19, 109
2021/6/20, 109
2021/6/21, 108
2021/6/22, 122
2021/6/23, 108
2021/6/24, 119
2021/6/25, 139
2021/6/26, 142
2021/6/27, 139
2021/6/28, 140
2021/6/29, 133
2021/6/30, 118
2021/1/28, 120
2021/1/29, 137
2021/1/30, 144
2021/1/31, 132
2021/2/1, 125
2021/2/2, 133
2021/2/3, 135
2021/2/4, 126
2021/2/5, 121
2021/2/7, 190
2021/2/8, 204
2021/2/9, 180
2021/2/10, 172
2021/2/11, 158
2021/2/12, 153
2021/2/13, 135
2021/2/16, 104
2021/2/17, 106
2021/2/18, 136
2021/2/19, 180
2021/2/20, 236
2021/2/21, 208
2021/2/22, 175
2021/2/23, 179
2021/2/24, 184
2021/2/25, 179
2021/2/26, 156
2021/2/27, 159
2021/2/28, 143
2021/3/1, 144
2021/3/2, 126
2021/3/3, 145
2021/3/4, 126
2021/3/5, 127
2021/3/6, 114
2021/3/7, 103
2021/3/8, 121
2021/3/9, 114
2021/3/10, 124
2021/3/11, 119
2021/3/12, 132
2021/3/13, 134
2021/3/14, 133
2021/3/15, 131
2021/3/16, 145
2021/3/17, 126
2021/3/18, 120
2021/3/19, 124
2021/3/20, 113
2021/3/21, 103
2021/3/22, 121
2021/3/23, 131
2021/3/24, 133
2021/3/25, 125
2021/3/26, 144
2021/3/27, 124
2021/3/28, 143
2021/3/29, 136
2021/3/30, 138
2021/3/31, 117
2020/10/1, 132
2020/10/2, 133
2020/10/3, 149
2020/10/4, 108
2020/10/5, 111
2020/10/6, 140
2020/10/7, 151
2020/10/8, 137
2020/10/9, 126
2020/10/21, 126
2020/10/22, 141
2020/10/23, 131
2020/10/24, 144
2020/10/25, 144
2020/10/26, 128
